name;label;top;left;height;width
1.png;1;77;246;219;81
1.png;9;81;323;219;96
2.png;2;29;77;32;23
2.png;3;25;98;32;26
3.png;2;5;17;15;8
3.png;5;5;25;15;9
4.png;9;13;57;34;15
4.png;3;13;72;34;13
5.png;3;7;52;46;21
5.png;1;10;74;46;15
6.png;3;6;28;21;10
6.png;3;8;38;21;11
7.png;2;10;35;32;13
7.png;8;11;47;32;13
8.png;7;4;17;15;7
8.png;4;4;25;15;6
8.png;4;3;31;15;7
9.png;1;4;19;24;14
9.png;2;4;29;24;13
9.png;8;5;38;24;17
10.png;1;6;25;27;9
10.png;6;4;34;27;14
11.png;2;5;22;26;12
11.png;3;4;33;26;9
12.png;6;16;67;55;23
12.png;3;17;90;55;20
13.png;4;12;44;33;17
13.png;2;13;63;33;18
14.png;5;2;35;42;21
14.png;8;2;55;42;23
15.png;1;8;22;20;14
15.png;6;7;33;20;10
16.png;2;3;20;19;7
16.png;3;1;26;19;7
17.png;7;4;23;22;14
17.png;9;4;35;22;12
18.png;5;12;52;41;28
18.png;3;17;80;41;21
19.png;2;1;19;19;7
19.png;2;1;28;19;7
19.png;2;1;36;19;7
20.png;6;2;20;24;11
20.png;2;1;32;24;11
21.png;2;6;72;85;52
22.png;5;4;24;16;10
22.png;1;5;34;16;7
22.png;5;5;40;16;11
23.png;4;5;29;32;21
23.png;7;5;52;32;22
24.png;8;59;233;34;19
24.png;9;56;248;34;21
25.png;6;11;60;50;24
25.png;10;9;87;50;24
25.png;1;7;113;50;21
26.png;2;7;34;32;12
26.png;4;8;49;32;13
27.png;5;11;46;45;26
27.png;6;8;73;45;27
28.png;5;8;31;33;13
28.png;2;7;42;33;10
29.png;1;14;43;18;10
29.png;3;13;51;18;16
29.png;2;14;66;18;5
30.png;1;1;16;25;7
30.png;4;1;25;25;11
31.png;6;1;14;19;10
31.png;3;1;24;19;11
31.png;8;1;36;19;11
32.png;4;16;48;33;17
32.png;3;19;67;33;18
33.png;1;5;27;33;16
33.png;4;5;42;33;18
34.png;4;13;41;32;16
34.png;2;9;54;32;24
35.png;6;5;25;14;7
36.png;4;9;50;47;23
36.png;4;8;72;47;24
37.png;1;4;24;20;6
37.png;1;2;42;20;7
38.png;1;28;87;57;26
38.png;7;22;108;57;37
39.png;3;19;62;40;13
39.png;1;20;74;40;9
40.png;2;9;61;61;28
40.png;10;17;93;61;28
41.png;4;10;38;35;11
41.png;2;9;50;35;13
42.png;2;27;110;51;25
42.png;5;36;131;51;30
42.png;1;36;159;51;26
43.png;2;24;87;51;31
43.png;9;20;119;51;26
44.png;2;3;19;26;13
44.png;10;3;32;26;8
44.png;4;3;40;26;7
45.png;1;3;35;31;8
45.png;10;4;44;31;12
46.png;3;87;136;104;49
46.png;2;44;201;104;41
46.png;7;18;257;104;53
47.png;2;2;14;15;6
47.png;4;1;20;15;5
48.png;4;20;74;50;28
48.png;6;17;103;50;29
49.png;8;18;65;45;36
49.png;1;15;102;45;26
49.png;7;16;132;45;28
50.png;1;27;58;26;11
50.png;10;22;74;26;15
50.png;3;17;95;26;15
51.png;9;7;47;45;16
51.png;1;9;66;45;9
52.png;3;12;45;38;23
52.png;5;11;74;38;28
53.png;9;34;160;84;59
53.png;3;18;208;84;52
54.png;1;10;36;45;18
54.png;1;8;56;45;21
55.png;1;27;116;35;15
55.png;1;29;128;35;10
55.png;3;29;137;35;17
55.png;7;26;151;35;17
56.png;5;4;22;20;9
56.png;6;3;35;20;9
57.png;2;38;63;25;16
57.png;1;26;74;25;15
57.png;5;12;83;25;19
58.png;1;6;45;46;19
58.png;1;2;65;46;17
59.png;2;3;35;42;19
60.png;4;1;16;20;9
60.png;7;1;25;20;7
61.png;5;6;33;19;9
62.png;3;6;45;46;24
62.png;2;8;61;46;25
63.png;4;23;96;63;40
63.png;3;27;132;63;37
64.png;2;4;26;26;8
64.png;9;3;37;26;16
65.png;5;6;25;21;11
65.png;8;7;36;21;12
66.png;9;6;38;30;11
66.png;5;6;46;30;14
67.png;1;5;48;47;12
67.png;10;4;59;47;22
68.png;5;19;71;35;14
68.png;4;19;88;35;13
68.png;2;14;102;35;20
69.png;4;12;54;46;15
69.png;4;16;67;46;14
70.png;3;5;20;16;11
70.png;1;5;30;16;7
71.png;2;4;24;22;11
71.png;3;4;36;22;10
71.png;8;3;48;22;9
71.png;6;3;58;22;10
72.png;1;6;26;17;7
72.png;5;5;34;17;11
73.png;3;3;18;14;5
74.png;3;4;28;26;10
74.png;3;6;40;26;12
75.png;1;10;34;29;7
75.png;8;9;40;29;11
76.png;9;2;22;18;6
76.png;8;2;29;18;6
77.png;7;5;53;60;30
77.png;3;4;84;60;24
77.png;9;6;106;60;24
78.png;1;14;78;22;9
78.png;3;14;86;22;8
78.png;8;12;93;22;11
79.png;1;41;40;51;22
79.png;9;33;64;51;30
79.png;2;17;99;51;35
79.png;2;11;138;51;31
80.png;2;11;38;19;12
80.png;2;8;54;19;16
81.png;7;8;49;31;14
81.png;4;7;64;31;17
82.png;4;8;35;30;19
82.png;5;6;54;30;18
83.png;6;6;36;29;16
83.png;10;15;53;29;12
84.png;3;6;34;32;20
85.png;1;7;17;15;6
85.png;7;6;23;15;7
86.png;3;4;26;20;7
86.png;5;5;33;20;9
87.png;1;16;67;35;14
87.png;7;17;81;35;24
88.png;5;13;47;36;27
89.png;1;23;85;64;26
89.png;8;19;110;64;33
90.png;1;6;37;30;6
90.png;6;7;46;30;13
90.png;4;10;61;30;13
91.png;1;18;49;26;9
91.png;9;17;59;26;11
91.png;3;13;68;26;11
92.png;3;6;35;35;19
92.png;5;8;56;35;14
93.png;1;11;40;32;12
93.png;7;7;51;32;19
94.png;1;18;54;34;12
94.png;2;12;67;34;19
95.png;1;58;127;26;10
95.png;10;60;136;26;9
95.png;4;60;148;26;11
95.png;4;59;157;26;10
96.png;1;6;33;39;23
96.png;8;5;56;39;32
97.png;3;8;34;32;16
97.png;6;6;48;32;14
98.png;1;7;50;37;15
98.png;2;7;66;37;21
98.png;10;11;85;37;27
99.png;2;4;30;29;17
100.png;1;1;18;22;5
100.png;10;0;23;22;9
100.png;9;0;32;22;10
101.png;5;7;27;27;13
101.png;3;5;42;27;12
102.png;3;14;58;51;18
102.png;5;9;77;51;16
103.png;7;2;54;28;20
104.png;1;18;67;69;29
104.png;10;20;99;69;21
104.png;4;12;122;69;26
105.png;1;13;83;100;44
105.png;4;10;128;100;69
106.png;1;12;37;17;10
106.png;4;12;49;17;11
107.png;5;16;49;29;14
107.png;2;13;64;29;16
108.png;2;3;28;27;14
109.png;3;11;38;28;18
109.png;10;10;57;28;14
